network,nservices,loadfactor,nodesused,lpobj,obj,totpens,avpens,tppens,ltpens,time,miptime,cgtime
nobeleu,300,2,30,74.38544624895714,97.14531222222224,73.26005555555558,0.0,11.260055555555562,62.0,643.001603603363,579.37,63.63160360336303
nobeleu,300,3,30,153.51332338820595,199.32902451838618,145.63813094969612,0.0,52.63813094969612,93.0,3767.7382051944733,3600.08,167.65820519447334
nobeleu,300,4,30,418.80716568473173,444.18212000000017,282.50600000000003,0.0,158.50600000000009,124.0,3739.877569437027,3600.14,139.7375694370271
nobeleu,300,5,30,677.8060177283569,697.875,423.7499999999999,0.0,268.75,155.0,3768.6968932151794,3600.04,168.65689321517948
nobeleu,400,1,30,100.99999999999994,114.48888666666667,41.42766666666666,4.0,7.927666666666658,29.500000000000004,265.920218706131,206.45,59.47021870613099
nobeleu,400,2,30,86.80585791960725,113.46321877784266,93.53624691972409,0.0,19.536246919724093,74.0,3736.1203241348267,3600.15,135.97032413482657
nobeleu,400,3,30,421.78575251247764,455.23173500000007,281.41175,0.0,170.41175000000004,111.0,3772.0509028434753,3600.05,172.00090284347516
nobeleu,400,4,30,775.5611910743482,794.0243309352531,467.41798561151154,0.0,319.4179856115114,148.00000000000003,3808.979686021805,3600.07,208.90968602180465
nobeleu,400,5,30,1116.047798500595,1141.5154499999999,658.5225,0.0,473.52250000000004,185.0,3764.457046031952,3600.57,163.88704603195174
nobeleu,500,1,30,50.3901410073581,50.400000000000006,42.0,0.0,0.0,42.0,100.9987473487854,1.32,99.67874734878541
nobeleu,500,2,30,289.3525263893675,325.7846150240017,203.69535397227799,0.0,119.6953539722781,83.99999999999997,4054.365314245224,3600.05,454.3153142452238
nobeleu,500,3,30,752.2415918991491,777.561975549889,447.96137403459846,0.0,321.96137403459835,126.0,3927.1289579868317,3600.06,327.0689579868317
nobeleu,500,4,30,1215.8973342032402,1246.4780672739994,701.5039936999999,0.0,533.5039936999999,168.0,3852.81902551651,3600.03,252.7890255165098
nobeleu,500,5,30,1682.110431279782,1711.1125999999995,952.6299999999999,0.0,742.63,210.0,2460.2877955436707,2243.55,216.73779554367047
nobeleu,600,1,30,73.18568098687729,73.19999946750369,61.0,0.0,0.0,61.0,132.92841506004333,6.59,126.33841506004333
nobeleu,600,2,30,420.31181503039846,443.80821999999955,281.31099999999986,0.0,159.31099999999978,122.0,4097.614513158798,3600.06,497.5545131587983
nobeleu,600,3,30,947.5443965455496,970.5832183467944,572.2986229439575,0.0,389.29862294395764,183.00000000000003,3978.2213926315308,3600.04,378.1813926315308
nobeleu,600,4,30,1474.7602997163845,1501.3653200000006,865.6660000000003,0.0,621.6659999999999,244.0,1463.9364795684814,1179.17,284.7664795684814
nobeleu,600,5,30,1999.858039833111,2023.0555499999994,1155.0275,0.0,850.0274999999999,305.0,496.5459840297699,248.35,248.1959840297699
nobeleu,700,1,30,85.18333360767687,117.20380382783986,86.84346753335423,0.0,15.843467533354223,71.00000000000001,3783.245517015457,3600.06,183.1855170154572
nobeleu,700,2,30,674.3840901469533,704.4185400000001,420.22700000000015,0.0,278.22700000000003,142.0,4071.475843191147,3600.16,471.315843191147
nobeleu,700,3,30,1320.2444099266604,1353.3223200000002,777.516,0.0,564.5159999999998,213.0,4002.2825610637665,3600.03,402.2525610637663
nobeleu,700,4,30,1974.2456396040925,2006.4297600000007,1136.688,0.0,852.688,284.0,723.2372150421143,399.54,323.69721504211424
nobeleu,700,5,30,2620.327522285457,2661.5371999999998,1495.86,0.0,1140.86,355.0,432.80711579322815,129.44,303.36711579322815
